Name,BSE Code,NSE Code,ISIN Code,Industry Group
Cartrade Tech,543333,CARTRADE,INE290S01011,Retailing
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products
CEAT,500878,CEATLTD,INE482A01020,Auto Components
Cemindia Project,509496,CEMPRO,INE686A01026,Construction
Central Bank,532885,CENTRALBK,INE483A01010,Banks
CESC,500084,CESC,INE486A01021,Power
CG Power & Ind,500093,CGPOWER,INE067A01029,Electrical Equipment
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance
Chola Financial,504973,CHOLAHLDNG,INE149A01033,Finance
Cholaman.Inv.&Fn,511243,CHOLAFIN,INE121A01024,Finance
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components
Cipla,500087,CIPLA,INE059A01026,Pharmaceuticals & Biotechnology
City Union Bank,532210,CUB,INE491A01021,Banks
Clean Science,543318,CLEAN,INE227W01023,Chemicals & Petrochemicals
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels
Cochin Shipyard,540678,COCHINSHIP,INE704P01025,Industrial Manufacturing
Coforge,532541,COFORGE,INE591G01025,IT - Software
Cohance Life,543064,COHANCE,INE03QK01018,Pharmaceuticals & Biotechnology
Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products
Concord Biotech,543960,CONCORDBIO,INE338H01029,Pharmaceuticals & Biotechnology
Container Corpn.,531344,CONCOR,INE111A01025,Transport Services
Coromandel Inter,506395,COROMANDEL,INE169A01031,Fertilizers & Agrochemicals
Craftsman Auto,543276,CRAFTSMAN,INE00LO01017,Auto Components
CreditAcc. Gram.,541770,CREDITACC,INE741K01010,Finance
CRISIL,500092,CRISIL,INE007A01025,Finance
Crompton Gr. Con,539876,CROMPTON,INE299U01018,Consumer Durables
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products
Cyient,532175,CYIENT,INE136B01020,IT - Services
Dabur India,500096,DABUR,INE016A01026,Personal Products
Dalmia BharatLtd,542216,DALBHARAT,INE00R701025,Cement & Cement Products
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense
DCM Shriram,523367,DCMSHRIRAM,INE499A01024,Diversified
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029,Chemicals & Petrochemicals
Delhivery,543529,DELHIVERY,INE148O01028,Transport Services
Devyani Intl.,543330,DEVYANI,INE872J01023,Leisure Services
Divi's Lab.,532488,DIVISLAB,INE361B01024,Pharmaceuticals & Biotechnology
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables
DLF,532868,DLF,INE271C01023,Realty
DOMS Industries,544045,DOMS,INE321T01012,Household Products
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles
EID Parry,500125,EIDPARRY,INE126A01031,Food Products
EIH,500840,EIHOTEL,INE230A01023,Leisure Services
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products
Emami,531162,EMAMILTD,INE548C01032,Personal Products
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components
Engineers India,532178,ENGINERSIN,INE510A01028,Construction
ERIS Lifescience,540596,ERIS,INE406M01024,Pharmaceuticals & Biotechnology
